id_idescat,ine_code,nom,poblacio,lat,lon,comarca
430666,43066,Els Garidells,190,41.20745,1.24755,Alt Camp
431191,43119,Puigpelat,1163,41.27796,1.29813,Alt Camp
430108,43010,Alió,458,41.2986,1.30355,Alt Camp
431135,43113,El Pont D'Armentera,488,41.383,1.36287,Alt Camp
431080,43108,El Pla De Santa Maria,2348,41.36538,1.28872,Alt Camp
430982,43098,Nulles,509,41.24911,1.29693,Alt Camp
430897,43089,Montferri,403,41.26558,1.36531,Alt Camp
430363,43036,Cabra del Camp,1175,41.3954,1.27586,Alt Camp
430918,43091,Mont-ral,168,41.28702,1.09811,Alt Camp
430831,43083,El Milà,190,41.24852,1.20643,Alt Camp
430803,43080,La Masó,280,41.23461,1.22117,Alt Camp
431606,43160,Vallmoll,1774,41.24461,1.2488,Alt Camp
431704,43170,Vila-rodona,1276,41.31102,1.3581,Alt Camp
431652,43165,Vilabella,729,41.24807,1.33246,Alt Camp
430056,43005,Alcover,5144,41.26248,1.17098,Alt Camp
430593,43059,Figuerola del Camp,329,41.37141,1.26534,Alt Camp
431613,43161,Valls,24477,41.28544,1.24946,Alt Camp
431205,43120,Querol,518,41.42372,1.39788,Alt Camp
430347,43034,Bràfim,695,41.26931,1.3409,Alt Camp
431248,43124,La Riba,585,41.31789,1.17704,Alt Camp
430017,43001,Aiguamúrcia,930,41.32962,1.35868,Alt Camp
431346,43134,El Rourell,372,41.2236,1.21754,Alt Camp
431325,43132,Rodonyà,494,41.2774,1.4,Alt Camp
170470,17047,Castelló d'Empúries,111,42.25565,3.07505,Alt Empordà
171208,17120,Palau-saverdera,1456,42.30748,3.14737,Alt Empordà
170144,17014,La Vajol,89,42.40368,2.80008,Alt Empordà
171518,17151,Riumors,246,42.22747,3.04197,Alt Empordà
171788,17178,Sant Pere Pescador,209,42.18975,3.09269,Alt Empordà
170412,17041,Cantallops,309,42.42211,2.92548,Alt Empordà
171766,17176,Sant Mori,166,42.15515,2.99037,Alt Empordà
170160,17016,Bàscara,1001,42.15812,2.91073,Alt Empordà
171194,17119,Palau de Santa Eulàlia,90,42.17743,2.96959,Alt Empordà
171289,17128,Pau,557,41.38768,2.17186,Alt Empordà
171292,17129,Pedret i Marzà,191,42.30853,3.07265,Alt Empordà
171753,17175,Sant Miquel de Fluvià,761,42.1758,2.99068,Alt Empordà
170427,17042,Capmany,611,42.36641,2.92758,Alt Empordà
171024,17102,Maçanet de Cabrenys,698,42.38138,2.71827,Alt Empordà
171002,17100,Masarac,288,42.35081,2.97287,Alt Empordà
171061,17106,Mollet de Peralada,198,42.35993,3.00037,Alt Empordà
171984,17198,Torroella de Fluvià,703,42.17527,3.03972,Alt Empordà
170329,17032,Cadaqués,2695,42.28876,3.27797,Alt Empordà
171962,17196,Terrades,338,42.30994,2.83808,Alt Empordà
170524,17052,Siurana,171,41.25811,0.93236,Alt Empordà
171117,17111,Navata,1427,42.22409,2.86145,Alt Empordà
170031,17003,Albanyà,155,42.30479,2.72045,Alt Empordà
170293,17029,Boadella i les Escaules,272,42.33044,2.85651,Alt Empordà
171886,17188,La Selva De Mar,195,42.32417,3.18707,Alt Empordà
172348,17234,Biure,241,42.33803,2.89544,Alt Empordà
170059,17005,El Far D'Empordà,602,42.25209,2.99568,Alt Empordà
170314,17031,Cabanelles,267,42.23035,2.82001,Alt Empordà
171870,17187,Camallera I Llampaies Saus,856,42.12032,2.96695,Alt Empordà
171156,17115,Ordis,361,42.21468,2.89263,Alt Empordà
170307,17030,Cabanes,968,42.31053,2.97318,Alt Empordà
171432,17143,Rabós,184,42.40261,3.0476,Alt Empordà
172214,17221,Vilafant,5421,42.25284,2.94257,Alt Empordà
171827,17182,Santa Llogaia d'Àlguema,368,42.23351,2.95194,Alt Empordà
172109,17210,Ventalló,846,42.14895,3.02695,Alt Empordà
171523,17152,Roses,19807,42.26052,3.2081,Alt Empordà
171328,17132,Peralada,1898,42.30835,3.00944,Alt Empordà
170123,17012,Avinyonet de Puigventós,1641,42.25361,2.9126,Alt Empordà
170643,17064,Espolla,412,42.39095,3.00069,Alt Empordà
171582,17158,Sant Climent Sescebes,707,42.36877,2.98119,Alt Empordà
170741,17074,Fortià,787,42.24065,3.03259,Alt Empordà
170600,17060,Darnius,537,42.36693,2.8334,Alt Empordà
170754,17075,Garrigàs,451,42.19277,2.95444,Alt Empordà
170773,17077,Garriguella,853,42.3431,3.06764,Alt Empordà
170622,17062,L' Escala,10244,42.11985,3.12277,Alt Empordà
171387,17138,Portbou,1063,42.4272,3.15977,Alt Empordà
171404,17140,El Port De La Selva,958,42.33873,3.20496,Alt Empordà
171365,17136,Pontós,260,42.18965,2.90761,Alt Empordà
170669,17066,Figueres,47235,42.26551,2.9581,Alt Empordà
172229,17222,Vilaür,158,42.14373,2.95475,Alt Empordà
172288,17228,Vilanant,386,42.25512,2.8892,Alt Empordà
172305,17230,Vila-sacra,758,42.2654,3.01821,Alt Empordà
172272,17227,Vilamaniscle,212,42.37537,3.06732,Alt Empordà
171352,17135,Pont de Molins,516,42.31439,2.93039,Alt Empordà
170268,17026,Borrassà,733,42.21367,2.93258,Alt Empordà
170926,17092,Llançà,4775,42.36159,3.14503,Alt Empordà
172142,17214,Vilabertran,993,42.28263,2.98131,Alt Empordà
170545,17054,Colera,445,42.40408,3.15224,Alt Empordà
172235,17223,Vilajuïga,1116,42.32581,3.09332,Alt Empordà
170118,17011,L' Armentera,951,42.17176,3.0739,Alt Empordà
170887,17088,Lladó,844,42.24804,2.81471,Alt Empordà
170865,17086,La Jonquera,332,42.41813,2.87392,Alt Empordà
170010,17001,Agullana,863,42.39365,2.84587,Alt Empordà
171714,17171,Sant Llorenç de la Muga,265,42.32253,2.78856,Alt Empordà
172253,17225,Vilamacolum,377,42.19634,3.05708,Alt Empordà
172266,17226,Vilamalla,1161,42.22251,2.97256,Alt Empordà
170932,17093,Llers,1237,42.29388,2.91141,Alt Empordà
170519,17051,Cistella,282,42.26846,2.84805,Alt Empordà
172174,17217,Viladamat,458,42.13288,3.07453,Alt Empordà
80581,08058,Castellet i la Gornal,2382,41.25354,1.5925,Alt Penedès
80850,08085,Font-rubí,1414,41.4347,1.59107,Alt Penedès
81228,08122,Mediona,2369,41.47981,1.62751,Alt Penedès
82877,08287,Torrelavit,1422,41.44646,1.73005,Alt Penedès
83041,08304,Vilobí del Penedès,1102,41.38881,1.66212,Alt Penedès
80919,08091,Gelida,767,41.43991,1.8672,Alt Penedès
82883,08288,Torrelles de Foix,2398,41.38831,1.56872,Alt Penedès
83054,08305,Vilafranca del Penedès,40154,41.34613,1.69794,Alt Penedès
80654,08065,Castellví de la Marca,1575,41.33248,1.59359,Alt Penedès
80945,08094,La Granada,2208,41.37583,1.72225,Alt Penedès
80272,08027,Les Cabanyes,979,41.37194,1.68883,Alt Penedès
82270,08227,Sant Martí Sarroca,3261,41.38583,1.61161,Alt Penedès
81688,08168,Pontons,528,41.41628,1.51602,Alt Penedès
82401,08240,Sant Sadurní d'Anoia,12841,41.42618,1.78675,Alt Penedès
82227,08222,Sant Llorenç d'Hortons,2428,41.466,1.82306,Alt Penedès
82325,08232,Sant Pere de Riudebitlles,238,41.4505,1.7044,Alt Penedès
82068,08206,Sant Cugat Sesgarrigues,1009,41.36347,1.75327,Alt Penedès
81748,08174,Puigdàlber,524,41.40437,1.70071,Alt Penedès
82362,08236,Sant Quintí de Mediona,2317,41.46287,1.66356,Alt Penedès
81542,08154,Pacs del Penedès,918,41.36059,1.67273,Alt Penedès
82515,08251,Santa Margarida i els Monjos,7676,41.31407,1.66149,Alt Penedès
82495,08249,Santa Fe del Penedès,367,41.38493,1.72073,Alt Penedès
80137,08013,Avinyonet del Penedès,1697,41.35475,1.78581,Alt Penedès
81640,08164,El Pla Del Penedès,1275,41.41792,1.71192,Alt Penedès
82732,08273,Subirats,3104,41.41598,1.81665,Alt Penedès
81458,08145,Olèrdola,3768,41.31816,1.72469,Alt Penedès
81461,08146,Olesa de Bonesvalls,184,41.35024,1.84896,Alt Penedès
251556,25155,Organyà,771,42.21195,1.32781,Alt Urgell
250447,25044,Bassella,217,42.01691,1.29588,Alt Urgell
259062,25906,Les Valls D'Aguilar,245,42.28881,1.23136,Alt Urgell
252038,25203,La Seu D'Urgell,12206,42.35758,1.45555,Alt Urgell
250306,25030,El Pont De Bar,152,42.37204,1.60522,Alt Urgell
251497,25149,Oliana,1843,42.06697,1.31439,Alt Urgell
251403,25140,Montferrer i Castellbò,1034,42.36628,1.34692,Alt Urgell
259097,25909,La Vansa I Fórnols,149,42.24618,1.5015,Alt Urgell
252398,25239,Les Valls De Valira,784,42.4042,1.4628,Alt Urgell
250328,25032,Arsèguel,81,42.35005,1.58294,Alt Urgell
259084,25908,Fígols i Alinyà,244,42.19819,1.39517,Alt Urgell
251654,25165,Peramola,347,42.09096,1.26985,Alt Urgell
251850,25185,Ribera d'Urgellet,932,42.28659,1.42414,Alt Urgell
250714,25071,Cava,45,42.32529,1.60552,Alt Urgell
250058,25005,Alàs i Cerc,320,42.32449,1.54023,Alt Urgell
250616,25061,Cabó,93,42.23889,1.24714,Alt Urgell
259101,25910,Josa i Tuixén,103,42.25459,1.6081,Alt Urgell
250772,25077,Coll de Nargó,540,42.17382,1.3162,Alt Urgell
250886,25088,Estamariu,125,42.37316,1.52283,Alt Urgell
252458,25245,Vilaller,549,42.47697,0.71706,Alta Ribagorça
250432,25043,La Vall De Boí,1019,42.52249,0.83446,Alta Ribagorça
